kor_sent,roman,translation_en,level
사이트의 판매량에 기반하여 판매량 추이를 반영한 인터파크 도서에서의 독립적인 판매 지수입니다,saiteuui panmaeryange gibanhayeo panmaeryang chuireul banyeonghan inteopakeu doseoeseoui dokripjeogin panmae jisuipnida,"It's an independent sales index in the Inter Park Library, which is based on the sales of the site.",6
현재 가장 잘 팔리는 상품에 가중치를 두었기 때문에 실제 누적 판매량과는 다소 차이가 있을 수 있습니다,hyeonjae gajang jal palrineun sangpume gajungchireul dueotgi ttaemune silje nujeok panmaeryanggwaneun daso chaiga isseul su itseupnida,"It's probably a little bit different from the actual cumulative sales, because they're weighted by the goods that are best sold right now.",7
판매량 외에도 다양한 가중치로 구성되어 최근의 이슈도서 확인시 유용할 수 있습니다,panmaeryang oeedo dayanghan gajungchiro guseongdoeeo choegeunui isyudoseo hwaginsi yuyonghal su itseupnida,"It's made up of multiple layers besides sales, which can be useful for recent issues.",6
해당 지수는 매일 갱신됩니다,haedang jisuneun maeil gaengsindoepnida,That exponent is updated every day.,2
"파일용량 및 다운로드기간 등의 상세 정보는 구매 여부, 대여일에 따라 다를 수 있으므로, 상세페이지에서 확인하세요","pairyongryang mit daunrodeugigan deungui sangse jeongboneun gumae yeobu, daeyeoire ttara dareul su isseumeuro, sangsepeijieseo hwaginhaseyo","Whether to purchase details, such as file capacity and download duration, depending on whether you want to buy them or not, check them out on the details page.",7
2004년 부커상을 수상한 『아름다움의 선』으로 국내 독자들에게 알려진 작가 앨런 홀링허스트의 “역사적인 데뷔작” 『수영장 도서관』이 ㈜창비에서 출간됐다,2004nyeon bukeosangeul susanghan 『areumdaumui seon』euro guknae dokjadeurege alryeojin jakga aelreon holringheoseuteuui “yeoksajeogin debwijak” 『suyeongjang doseogwan』i ㈜changbieseo chulgandwaetda,"The 2004 award for Bucker's beauty was published by the library of the ""Precious Deviction"" pool of author Alan Hollinghurst, known to his domestic readers.",8
"에이즈의 유행과 맞물려 동성애에 대한 사회적 인식이 극도로 악화되었던 대처 수상 집권 말기인 1988년에 출간된 이 소설은, 영국에서 처음으로 남성 동성애자들의 적나라한 성애와 생활을 주류 문학계 안으로 끌어오며 일대 센세이션을 낳았고, 영국과 미국에서 베스트셀러에 오르며 엄청난 반향을 불러일으켰다","eijeuui yuhaenggwa matmulryeo dongseongaee daehan sahoejeok insigi geukdoro akhwadoeeotdeon daecheo susang jipgwon malgiin 1988nyeone chulgandoen i soseoreun, yeonggugeseo cheoeumeuro namseong dongseongaejadeurui jeoknarahan seongaewa saenghwareul juryu munhakgye aneuro kkeureoomyeo ildae senseisyeoneul naatgo, yeonggukgwa migugeseo beseuteuselreoe oreumyeo eomcheongnan banhyangeul bulreoireukyeotda","This novel, published in 1988 by the late Prime Minister, who ended up with a social decline in gays based on the epidemic of AIDS, led to the first major literary development of gay men in the U.K., led to the rise of one-on-oneness, climbing to the best-selling country in the United Kingdom and the United States.",10
"이전까지 B급 하위문화의 한 장르로 취급받던 퀴어소설이 서머싯몸상, 스톤월 도서상, E","ijeonkkaji Bgeup hawimunhwaui han jangreuro chwigeupbatdeon kwieososeori seomeositmomsang, seutonwol doseosang, E","The Queen's novel, which was used as a genre of the B-class subculture, was written in the Summys, the Stonewall Library, and the E.",6
포스터상 등 굴지의 문학상을 휩쓴 이 작품의 성공에 힘입어 진지한 문학작품으로서 논의되기 시작한 것이다,poseuteosang deung guljiui munhaksangeul hwipsseun i jakpumui seonggonge himibeo jinjihan munhakjakpumeuroseo nonuidoegi sijakhan geosida,"The success of this work, which has led to a poster-like prize of literature, started to be discussed as a serious literary work.",7
이러한 상황에 비추어 『뉴욕 타임스』에서는 앨런 홀링허스트를 가리켜 ‘소설의 게이 해방자’라고 표현했다,ireohan sanghwange bichueo 『nyuyok taimseu』eseoneun aelreon holringheoseuteureul garikyeo ‘soseorui gei haebangja’rago pyohyeonhaetda,"The New York Times described Alan Holinghurst as ""the gay liberator of fiction.""",6
